report_year	source_file	metric_canon	metric_raw	dim_type	period	data_years	scope	pages	note
2017	2017.pdf	VC vs PE	Melek&VC vs Growth Equity&PE	investor_type	FY	2010-2017	all	5	p5 stacked segment
2017	2017.pdf	CVC / corporate investment	Corporates are increasingly interested (funding amount + share of corporate investors)	investor_type	FY	2010-2017	all	8	corporate amount + %share
2017	2017.pdf	Investment by vertical	Most funded verticals in 2017 (Angel & VC)	vertical	FY	2017	all	9	vertical mutually exclusive değil
2017	2017.pdf	Turkey vs abroad funding (diaspora)	Startups in Turkey vs Turkish Immigrants' Startups Comparison	scope	FY	2010-2017	diaspora	15	yurtiçi vs yurtdışı funding + #rounds
2017	2017.pdf	Country comparison	Turkey, Europe and MENA — 2017 Early Investment League	country	FY	2017	all	18-21	Europe + MENA lig tabloları, per-capita, dev sayısı
2017	2017.pdf	Acquisitions & secondary	Prominent Acquisitions in 2017	none	FY	2017	all	12	liste; asset/majority/minority
2017	2017.pdf	First-time investors	First Time Investors in 2017	none	FY	2017	all	13	liste
2018	2018.pdf	Total deal count	Deal Volume by Angel & VC (# Deals)	none	FY	2010-2018	all	4	count-merkezli rapor
2018	2018.pdf	VC vs PE	Deal Volume by Angel&VC vs PE (# Deals)	investor_type	FY	2010-2018	all	4,5	VC/GE/PE/CR tanımı p5
2018	2018.pdf	Investment by stage	Seed & Series A deals see sharp decline (# Deals by stage)	stage	FY	2010-2018	all	7	COUNT bazlı (amount değil); Pre-Seed…Series D
2018	2018.pdf	Investment by vertical	Fintech, SaaS, Marketing-tech biggest bets	vertical	FY	2018	all	8	
2018	2018.pdf	CVC / corporate investment	Investments w/ Corporate Participation vs Total (Early Stage)	investor_type	FY	2010-2018	all	9	count bazlı; 1/3 deals corporate
2018	2018.pdf	Grants / non-equity financing	Grants are the best option for idea stage	stage	FY	2018	all	10	Tubitak/KOSGEB grant vs Angel&VC; snapshot
2018	2018.pdf	Country comparison	Heatmap + Europe/MENA league + per-capita	country	FY	2018	all	11-15	Europe 21st, MENA 4th, per-capita
2018	2018.pdf	Acquisitions & secondary	Acquisitions & Secondary Transaction by Year (Amount + #)	none	FY	2010-2018	all	16,17	tam zaman serisi; 2018 detay liste p17
2018	2018.pdf	VC fundraising (fund formation)	VC (Local) Fundraising by Year (Capital Raised + # Funds Closed)	none	FY	2012-2018	all	18	veri 2012'de başlıyor, 2010-11 boş
2018	2018.pdf	New investors/funds	New Stakeholders — New Funds / Investors	none	FY	2018	all	19	liste
2018	2018.pdf	New accelerators/hubs	New Stakeholders — New Accelerators / Hubs	none	FY	2018	all	20	liste
2019	2019.pdf	Total investment amount	DISCLOSED EQUITY FUNDING ROUNDS ($)	none	FY	2010-2019	all	4	amount + #deals line
2019	2019.pdf	Total deal count	DISCLOSED EQUITY FUNDING ROUNDS (# line 11..94)	none	FY	2010-2019	all	4	
2019	2019.pdf	Investment by stage	INVESTMENTS BY STAGES ($)	stage	FY	2010-2019	all	5	SEAM: taksonomi Seed/Early VC/Later VC (Pre-Seed…Series D DEĞİL)
2019	2019.pdf	Funding concentration (top startups)	MOST FUNDED STARTUPS/SCALEUPS (top10=72%)	none	FY	2019	all	6	yoğunlaşma metriği; NEW
2019	2019.pdf	Investment by vertical	MOST FUNDED VERTICALS (Amount + # Deals)	vertical	FY	2019	all	7	
2019	2019.pdf	CVC / corporate investment	VC DEALS BY CVC PARTICIPATION ($ + %)	investor_type	FY	2010-2019	all	8,9	amount p8, share% p9
2019	2019.pdf	Grants / non-equity financing	GRANTS VS EQUITY FUNDING (TUBITAK/KOSGEB)	stage	FY	2019	all	10	985 startup $8.6M grant vb.
2019	2019.pdf	Country comparison	FUNDING LEAGUE (1/4-4/4)	country	FY	2019	all	11-14	global $294B; US/China/India/Europe
2019	2019.pdf	Acquisitions & secondary	ACQUISITIONS AND SECONDARY TRANSACTIONS ($, VB vs Bootstrapped)	none	FY	2010-2019	all	15-17	venture-backed vs bootstrapped split
2019	2019.pdf	VC fundraising (fund formation)	VC FUNDRAISING IN TURKEY (New Funds)	none	FY	2012-2019	all	18	sadece yerel fonlar
2019	2019.pdf	New investors/funds	NEW STAKEHOLDERS IN TURKEY	none	FY	2019	all	19	investor+accelerator
2019	2019.pdf	Turkey vs abroad funding (diaspora)	TURKISH DIASPORA ($ by year)	scope	FY	2010-2019	diaspora	20,21	diaspora funding serisi; p21 top10=92%
2019	2019.pdf	Turkish investors' foreign investment	TURKISH INVESTORS' FOREIGN INVESTMENT PARTICIPATION	none	FY	2010-2019	all	22	NEW; yurtdışı girişimlere TR yatırımcı katılımı
2020	2020.pdf	Total investment amount	TURKEY YEARLY ANGEL & VC DEAL ACTIVITY ($)	none	FY	2010-2020	all	8	amount + #deals
2020	2020.pdf	Total deal count	TURKEY YEARLY ANGEL & VC DEAL ACTIVITY (# line)	none	FY	2010-2020	all	8	
2020	2020.pdf	Investment by legal structure (TR vs abroad)	… BY LEGAL STRUCTURE (in Turkey vs Abroad)	legal_structure	FY	2010-2020	all	9	NEW dim; overseas entity temasi; amount+#
2020	2020.pdf	Investment by stage	TURKEY YEARLY DEAL (#) ACTIVITY BY STAGES	stage	FY	2010-2020	all	10	COUNT; Seed/Early VC/Later VC
2020	2020.pdf	Round size distribution	DEAL (#) ACTIVITY BY SIZE (Under$1M…$25-50M)	deal_size	FY	2010-2020	all	12	ZAMAN SERISI (2015'te tek yıldı); % by year
2020	2020.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS IN 2020	vertical	FY	2020	all	14	amount+#; tags mutually exclusive değil
2020	2020.pdf	Startups founded by vertical	MOST PREFERRED (FOUNDED) VERTICALS BY ENTREPRENEURS	vertical	FY	2010-2020	all	5	NEW; kurulan startup top5 vertical/yıl
2020	2020.pdf	Founders' universities (formation)	FOUNDERS' UNIVERSITIES FOR STARTUPS FOUNDED 2020	university	FY	2020	all	6	NEW; 2019 ref var
2020	2020.pdf	Investment by university	FOUNDERS' UNIVERSITIES FOR ANGEL & VC DEALS 2020	university	FY	2020	all	15	NEW; ITU $55.5M raised
2020	2020.pdf	Investment by city	ANGEL & VC DEALS BY CITIES IN 2020	city	FY	2020	all	16	NEW; Istanbul %90 amount
2020	2020.pdf	CVC / corporate investment	… DEAL ACTIVITY WITH CVC PARTICIPATION	investor_type	FY	2010-2020	all	18,19	amount+#; 2020 rekor 37% deals
2020	2020.pdf	Gender diversity (founder gender share)	SHARE OF STARTUPS BY FOUNDING TEAM GENDER	gender	FY	2010-2020	all	22	NEW; female-founded share; 2010-2020 median
2020	2020.pdf	Female-founder deal activity	… DEAL ACTIVITY WITH FEMALE FOUNDERS/COFOUNDERS	gender	FY	2010-2020	all	23,24	NEW; deal value+# female-founded
2020	2020.pdf	VC fundraising (fund formation)	TURKEY VC FUNDRAISING ACTIVITY (TR vs Abroad + #Funds)	none	FY	2012-2020	all	27	veri 2012 basliyor; UPDATED; TR/abroad split
2020	2020.pdf	Country comparison	FUNDING LEAGUE 2020 (Global/Europe/MENA + biggest deals)	country	FY	2020	all	30-33	
2020	2020.pdf	Exits	TOP 10 EXITS IN EUROPE 2020	none	FY	2020	all	34	NEW; Peak Games ilk unicorn $1.85B
2020	2020.pdf	Acquisitions & secondary	ACQUISITIONS AND SECONDARY TRANSACTIONS ($)	none	FY	2010-2020	all	36,37	2020 detay p38
2020	2020.pdf	Turkey vs abroad funding (diaspora)	TOP 10 TURKISH DIASPORA DEALS 2020	scope	FY	2020	diaspora	40	FLAG: sadece 2020 top10; by-year diaspora serisi YOK (2019'da vardı)
2020	2020.pdf	Grants / non-equity financing	GRANTS VS EQUITY FUNDING (TUBITAK TEYDEB)	stage	FY	2019-2020	all	42	
2021	2021.pdf	Total investment amount	TURKIYE YEARLY ANGEL & VC DEAL ACTIVITY (Deal Size $)	none	FY	2017-2021	all	4	SEAM: ufuk 5 yıla düştü (2020 raporu 2010'a gidiyordu)
2021	2021.pdf	Total deal count	TURKIYE YEARLY ANGEL & VC DEAL ACTIVITY (Deal Count)	none	FY	2017-2021	all	4	
2021	2021.pdf	Investment by stage	TURKIYE YEARLY DEAL ($/#) ACTIVITY BY STAGES	stage	FY	2017-2021	all	5	Seed/Early VC/Later VC; $ ve #
2021	2021.pdf	Round size distribution	TURKIYE YEARLY DEAL (#) ACTIVITY BY SIZE	deal_size	FY	2017-2021	all	6	13 deal >$10M
2021	2021.pdf	Investment by vertical	TOP 5 FUNDED VERTICALS IN 2021	vertical	FY	2021	all	9	Grocery/Game/Proptech/Fintech/Blockchain
2021	2021.pdf	Gaming deals (sector)	GAMING DEALS IN TURKIYE	vertical	FY	2017-2021	all	10	NEW; oyun sektörü derinlemesine; $265M
2021	2021.pdf	Valuations	VALUATIONS (avg seed, gaming vs non-gaming)	stage	FY	2017,2019,2021	all	11	NEW flavor; spot yıllar; gaming $3.6M non-gaming $2M
2021	2021.pdf	Foreign investor participation	FOREIGN INVESTOR PARTICIPATION	investor_type	FY	2017-2021	all	8	NEW; 89% amount, 44 deals foreign
2021	2021.pdf	Country comparison	DEALS LEAGUE 2021 (Global/Europe/MENA + per capita)	country	FY	2021	all	12-15	Europe 10th, MENA 2nd, per-capita 21st
2021	2021.pdf	Investment by city	ANGEL & VC DEALS IN EUROPEAN CITIES 2021	city	FY	2021	all	16	Istanbul 13th ($), 4th (#)
2021	2021.pdf	CVC / corporate investment	… DEAL ACTIVITY WITH CVC PARTICIPATION	investor_type	FY	2017-2021	all	17	87/294 deals corporate
2021	2021.pdf	Gender diversity (founder gender share)	GENDER DIVERSITY IN 2021	gender	FY	2021	all	18	FLAG: 2021 narrative; by-year serisi yok (2020'de 2010-2020 vardı); 5yr ref %16-18
2021	2021.pdf	Acquisitions & secondary	ACQUISITIONS AND SECONDARY TRANSACTIONS	none	FY	2017-2021	all	19	ufuk 5 yıl
2021	2021.pdf	Maturity stage (GE/PE) activity	TURKIYE YEARLY MATURITY STAGE ACTIVITY	stage	FY	2017-2021	all	20	NEW; GE/PE deals; Trendyol decacorn $1.85B
2021	2021.pdf	VC fundraising (fund formation)	TURKIYE VC FUNDRAISING ACTIVITY (Fund Size + Count)	none	FY	2017-2021	all	21	sadece TR'ye ayrılan tutar
2021	2021.pdf	Most active investors	MOST ACTIVE VC/CVC FUNDS IN 2021	investor	FY	2021	all	22	
2021	2021.pdf	Grants / non-equity financing	PRE-SEED STAGE GRANTS BY TUBITAK (BIGG)	stage	FY	2019-2021	all	23	BIGG; amount+#startups
2022	2022.pdf	Total investment amount	TURKIYE YEARLY ANGEL & VC DEAL ACTIVITY (Getir vs Others)	none	FY	2017-2022	all	6	$1.593B; ex-Getir $825M rekor
2022	2022.pdf	Total deal count	TURKIYE YEARLY ANGEL & VC DEAL ACTIVITY (#)	none	FY	2017-2022	all	6	300 deals
2022	2022.pdf	Quarterly deal activity	TURKIYE QUARTERLY ANGEL & VC DEAL ACTIVITY	quarter	FY	2019-2022	all	7	NEW; çeyreklik seri 2019Q1-2022Q4; 2026 çeyreklik raporların öncüsü
2022	2022.pdf	Investment by stage	TURKIYE YEARLY DEAL ($/#) ACTIVITY BY STAGES	stage	FY	2017-2022	all	10	Seed/Early VC/Later VC
2022	2022.pdf	Funding concentration (top startups)	DISTRIBUTION OF DEALS (Getir/DreamGames/Insider/Others)	none	FY	2022	all	8	top3 $1.144B
2022	2022.pdf	Investment by vertical	TOP 5 FUNDED VERTICALS IN 2022	vertical	FY	2022	all	11	Grocery/Gaming/AI/SaaS/Mktech
2022	2022.pdf	Fintech deals (sector)	FINTECH IN TURKIYE	vertical	FY	2017-2022	all	12	NEW sector deep-dive
2022	2022.pdf	Gaming deals (sector)	GAMING IN TURKIYE (+ country ranking)	vertical	FY	2017-2022	all	13	TR 4th globally in gaming
2022	2022.pdf	Equity crowdfunding deals	TURKIYE YEARLY EQUITY BASED CROWDFUNDING DEALS	none	FY	2017-2022	all	9	NEW; 46 startup 2022; avg $230K
2022	2022.pdf	Foreign investor participation	FOREIGN INVESTOR PARTICIPATION	investor_type	FY	2017-2022	all	14	~1/5 deals foreign
2022	2022.pdf	CVC / corporate investment	… DEAL ACTIVITY WITH CVC PARTICIPATION	investor_type	FY	2017-2022	all	15	116/300 rekor
2022	2022.pdf	VCIF/GSYF participation	… WITH VCIF(GSYF) PARTICIPATION + NEW VCIF ESTABLISHED	investor_type	FY	2017-2022	all	16	NEW; 103/300; onshore micro funds
2022	2022.pdf	Gender diversity (founder gender share)	FEMALE FOUNDERS IN TURKIYE	gender	FY	2017-2022	all	17	by-year chart geri geldi; 64/300; deals w/ female $
2022	2022.pdf	Investment by city	ANGEL & VC DEALS IN EUROPEAN CITIES 2022	city	FY	2022	all	18	
2022	2022.pdf	Country comparison	DEALS LEAGUE 2022 (Global/Europe/MENA)	country	FY	2022	all	5,19,20	
2022	2022.pdf	Maturity stage (GE/PE) activity	TURKIYE YEARLY MATURITY STAGE ACTIVITY	stage	FY	2017-2022	all	21	düşük; startuplar Series A sonrası yurtdışına taşınıyor
2022	2022.pdf	Acquisitions & secondary	ACQUISITIONS AND SECONDARY TRANSACTIONS	none	FY	2017-2022	all	22	Alictus/Airties/ZES/Volt Lines exits
2022	2022.pdf	Startups founded by vertical	MOST PREFERRED (FOUNDED) VERTICALS BY ENTREPRENEURS	vertical	FY	2017-2022	all	23	top5 founded/yıl
2022	2022.pdf	VC fundraising (fund formation)	TURKIYE VC FUNDRAISING ACTIVITY	none	FY	2017-2022	all	24	GSYF/GSYO; bilinmeyen fon boyutu hariç
2023	2023.pdf	Total investment amount	YEARLY ANGEL & VC DEALS IN TURKIYE ($)	none	FY	2010-2023	all	11	HEADLINE 10yr GERİ GELDİ (2021/22 vintage 2017'den başlıyordu). $722M; +convertible/crypto=$889M; ex-Getir $222M
2023	2023.pdf	Total deal count	YEARLY ANGEL & VC DEALS IN TURKIYE (# line)	none	FY	2010-2023	all	11	325 deals
2023	2023.pdf	Quarterly deal activity	QUARTERLY ANGEL & VC DEALS IN TURKIYE	quarter	FY	2019-2023	all	12	2019Q4-2023
2023	2023.pdf	Investment by stage	TURKIYE YEARLY DEAL ($/#) ACTIVITY BY STAGES	stage	FY	2018-2023	all	13	breakdown 6yr; BiGG Q1-2024 forecast notu
2023	2023.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS 2023 (Deal Size + Deal Count)	vertical	FY	2018-2023	all	14,15	AI & Gaming +50% deal
2023	2023.pdf	VCIF/GSYF participation	VC DEAL ACTIVITY WITH VCIF(GSYF) PARTICIPATION + NEW VCIF	investor_type	FY	2018-2023	all	16	~1/2 deals GSYF
2023	2023.pdf	Equity crowdfunding deals	EQUITY BASED CROWDFUNDING DEALS	none	FY	2020-2023	all	17	tech kampanyaları; efonla
2023	2023.pdf	Foreign investor participation	FOREIGN INVESTOR PARTICIPATION	investor_type	FY	2018-2023	all	18	5 yılın en düşüğü
2023	2023.pdf	CVC / corporate investment	VC DEAL ACTIVITY WITH CVC+CORPORATE PARTICIPATION	investor_type	FY	2018-2023	all	19	124/325; 82 total CVC
2023	2023.pdf	Gaming deals (sector)	GAMING INVESTMENTS (ANGEL & VC)	vertical	FY	2018-2023	all	20	VINTAGE REVİZYON: Dream Games 2022 dealı 2021'e taşındı
2023	2023.pdf	VC fundraising (fund formation)	VC FUNDRAISING	none	FY	2018-2023	all	21	GSYF hedef tutar; TR payı bilinmiyor
2023	2023.pdf	Acquisitions & secondary	ACQUISITIONS AND SECONDARY TRANSACTIONS	none	FY	2018-2023	all	22	M&A +67% $644M; Mackolik/ebebek IPO, Martı SPAC
2023	2023.pdf	Gender diversity (founder gender share)	FEMALE FOUNDERS IN TURKIYE	gender	FY	2018-2023	all	23	70/325; gaming %9 en düşük, biotech %47 en yüksek
2023	2023.pdf	Country comparison	DEALS LEAGUE 2023 (Global/Europe/MENA)	country	FY	2023	all	7-9	TR Europe 5th, MENA 1st (deal count)
2023	2023.pdf	VC survey (sentiment)	VC SURVEY 2023 (quality/competition/fundraising/exit/problems)	survey	FY	2023	all	24-30	NEW; 35 TR VC anketi; nitel
2023	2023.pdf	VC snapshots (fund profiles)	VC SNAPSHOTS	investor	FY	2023	all	31-40	NEW; fon profilleri
2023	2023.pdf	Global overview (context)	GLOBAL OVERVIEW (layoffs, gov acts, diversity)	none	FY	2023	all	5,6	referans; global bağlam
2024	2024.pdf	Total investment amount	YEARLY ANGEL & VC DEALS IN TURKIYE ($)	none	FY	2010-2024	all	4	$1.1B; dönem etiketleri Learning/Early/Restructuring/Experienced
2024	2024.pdf	Total deal count	YEARLY ANGEL & VC DEALS IN TURKIYE (#)	none	FY	2010-2024	all	4	469 deals (+31% YoY; BiGG dahil şiştи)
2024	2024.pdf	Total investment amount	… (GETIR & BIGG FUND EXCLUDED)	none	FY	2019-2024	ex_getir_bigg	5	NEW scope=ex_getir_bigg; temiz karşılaştırma
2024	2024.pdf	Investment by stage	TURKIYE YEARLY DEAL ($/#) ACTIVITY BY STAGES	stage	FY	2019-2024	all	10	Seed/Early/Later; p11 ülke-bazlı stage 2024
2024	2024.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS 2024 (Size + Count)	vertical	FY	2019-2024	all	12,13	BiGG etkisi: biotech/healthtech/AI; ex-BiGG AI lider
2024	2024.pdf	CVC / corporate investment	VC DEAL ACTIVITY WITH CVC+CORPORATE + NEW CVCS	investor_type	FY	2019-2024	all	14	139/358→; 91 CVC (101 w/ accel)
2024	2024.pdf	VCIF/GSYF participation	VC DEAL ACTIVITY WITH VCIF(GSYF) + NEW VCIF	investor_type	FY	2019-2024	all	15	455 GSYF authorized rekor
2024	2024.pdf	Equity crowdfunding deals	EQUITY BASED CROWDFUNDING DEALS (# Active Platforms)	none	FY	2021-2024	all	16	$8M/32 campaign; -61% volume
2024	2024.pdf	Foreign investor participation	FOREIGN INVESTOR PARTICIPATION	investor_type	FY	2019-2024	all	17	25/469
2024	2024.pdf	Gender diversity (founder gender share)	TURKIYE DEAL ACTIVITY WITH FEMALE FOUNDER	gender	FY	2019-2024	all	18	124/469 belirgin artış
2024	2024.pdf	VC fundraising (fund formation)	VC FUNDRAISING (Traditional VC Funds)	none	FY	2019-2024	all	19	fund size+count
2024	2024.pdf	Acquisitions & secondary	ACQUISITIONS AND SECONDARY TRANSACTIONS	none	FY	2024	all	20	FLAG: 2024 narrative (by-year chart yok); Kaspi/Hepsiburada $1.127B, IPOlar, 212 dragon exit
2024	2024.pdf	Country comparison	DEALS LEAGUE 2024 + COUNTRY COMPARISON	country	FY	2022-2024	all	6-9,11	p9 animal analogy 2022-2024; p11 stage cross-country
2024	2024.pdf	Startup survey (funded startups)	STARTUP SURVEY RESULTS	survey	FY	2024	all	21	NEW; 23 startup; 74 gün bulma, %56 red
2024	2024.pdf	VC survey (sentiment)	VC SURVEY (quality/competition/fundraising/exit/problems)	survey	FY	2024	all	22-26	21 TR VC
2025	2025.pdf	Total investment amount	YEARLY ANGEL & VC DEALS IN TURKIYE ($)	none	FY	2015-2025	all	5	$589M -45% YoY; ufuk 2015 başlıyor (2010 değil)
2025	2025.pdf	Total deal count	YEARLY ANGEL & VC DEALS IN TURKIYE (#)	none	FY	2015-2025	all	5	306 deals -48%
2025	2025.pdf	Turkey vs abroad funding (diaspora)	DEALS IN TURKIYE VS DEALS OF TURKISH DIASPORA	scope	FY	2015-2025	diaspora	6	diaspora serisi GERİ GELDİ; diaspora $1.1B/41 deal, 3 unicorn (Airalo/Periodic/Fal)
2025	2025.pdf	Investment by stage	TURKIYE YEARLY DEAL ($) ACTIVITY BY STAGES	stage	FY	2020-2025	all	8,9	2025 later-stage SIFIR; p9 cross-country stage
2025	2025.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS 2025 (Size + Count)	vertical	FY	2020-2025	all	12,13	AI deal count lider ama capital düşük
2025	2025.pdf	Funding concentration (top startups)	BREAKDOWN OF INVESTMENTS (AI / Gaming+Fintech / top startups)	none	FY	2024-2025	all	10,11	Gaming+Fintech %68 capital; 1/4 deal AI
2025	2025.pdf	CVC / corporate investment	VC DEAL ACTIVITY WITH CVC+CORPORATE + NEW CVCS	investor_type	FY	2020-2025	all	17	96 CVC; ~1/3 deals
2025	2025.pdf	VC fundraising (fund formation)	VC FUNDRAISING (VCIF + Traditional; median sizes)	none	FY	2020-2025	all	18,19	son 3 yıl $1.5B; median VCIF $2M, VC $43M
2025	2025.pdf	Equity crowdfunding deals	EQUITY BASED CROWDFUNDING DEALS	none	FY	2021-2025	all	20	22 campaign $4.8M; 11 active platform
2025	2025.pdf	Foreign investor participation	FOREIGN INVESTOR PARTICIPATION	investor_type	FY	2020-2025	all	21	gaming lider
2025	2025.pdf	Gender diversity (founder gender share)	FEMALE FOUNDERS IN TURKIYE	gender	FY	2020-2025	all	22	%22 yeni startup; 1/4 investment female
2025	2025.pdf	Acquisitions & secondary	ACQUISITIONS & SECONDARY TRANSACTIONS IN TURKIYE	none	FY	2020-2025	all	23	by-year + IPO; $2.4B
2025	2025.pdf	Acquisitions & secondary (diaspora)	ACQUISITIONS & SECONDARY FOR TURKISH DIASPORA	none	FY	2020-2025	diaspora	24	NEW; diaspora M&A/IPO/secondary
2025	2025.pdf	Country comparison	DEALS LEAGUE 2025 + COUNTRY COMPARISON	country	FY	2023-2025	all	7,9,14-16	p7 2023-2025; Europe/MENA leagues
2025	2025.pdf	VC survey (sentiment)	VC SURVEY 2025 (+ magic wand)	survey	FY	2025	all	26-31	16 TR VC; p31 diaspora köprü isteği
2026q1	2026q1.pdf	Total investment amount	YEARLY ANGEL & VC DEALS ($) — historical FY bars	none	FY	2016-2025	all	4	çeyreklik rapordaki geçmiş FY serisi
2026q1	2026q1.pdf	Total investment amount	YEARLY ANGEL & VC DEALS — Q1 datapoint	none	Q1	2026	all	4	$64M/39 rounds; adj TaleMonster+Fimple $40M zayıf çeyrek; ex-BiGG 23 startup
2026q1	2026q1.pdf	Total deal count	YEARLY ANGEL & VC DEALS (#) — historical FY	none	FY	2016-2025	all	4	
2026q1	2026q1.pdf	Total deal count	YEARLY ANGEL & VC DEALS (#) — Q1 datapoint	none	Q1	2026	all	4	39 rounds
2026q1	2026q1.pdf	Quarterly deal activity	QUARTERLY ANGEL & VC DEALS IN TURKIYE	quarter	Q1	2024-2026	all	5	2024Q1-2026Q1 çeyreklik seri
2026q1	2026q1.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS (Size+Count) — historical FY	vertical	FY	2020-2025	all	9,10	
2026q1	2026q1.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS — Q1	vertical	Q1	2026	all	9,10	gaming+fintech taşıyor
2026q1	2026q1.pdf	CVC / corporate investment	CVC+CORPORATE PARTICIPATION — historical FY	investor_type	FY	2021-2025	all	14	
2026q1	2026q1.pdf	CVC / corporate investment	CVC+CORPORATE PARTICIPATION — Q1	investor_type	Q1	2026	all	14	
2026q1	2026q1.pdf	VC fundraising (fund formation)	VC FUNDRAISING — historical FY	none	FY	2021-2025	all	15	
2026q1	2026q1.pdf	VC fundraising (fund formation)	VC FUNDRAISING — Q1	none	Q1	2026	all	15	$42M
2026q1	2026q1.pdf	Equity crowdfunding deals	EQUITY BASED CROWDFUNDING — historical FY	none	FY	2021-2025	all	16	
2026q1	2026q1.pdf	Equity crowdfunding deals	EQUITY BASED CROWDFUNDING — Q1	none	Q1	2026	all	16	5 campaign $1.2M; 14 active platform
2026q1	2026q1.pdf	Acquisitions & secondary	ACQUISITIONS & SECONDARY IN TURKIYE — historical FY	none	FY	2021-2025	all	17	
2026q1	2026q1.pdf	Acquisitions & secondary	ACQUISITIONS & SECONDARY — Q1	none	Q1	2026	all	17	$602M
2026q1	2026q1.pdf	Funding concentration (top startups)	BREAKDOWN OF INVESTMENTS (TaleMonster/Fimple/Dataroid/Vento)	none	Q1	2026	all	8	
2026q1	2026q1.pdf	Country comparison	DEALS LEAGUE 2026-Q1 + COUNTRY COMPARISON + AI DOMINANCE	country	Q1	2026	all	6,7,11-13	p6 çeyreklik 2025Q3-2026Q1; UK top5 AI $3.6B
2026q2	2026q2.pdf	Total investment amount	YEARLY ANGEL & VC DEALS ($) — historical FY	none	FY	2016-2025	all	4	
2026q2	2026q2.pdf	Total investment amount	YEARLY ANGEL & VC DEALS — H1 datapoint	none	H1	2026	all	4	$172M/87 rounds; rapor H1 diyor (Q2 değil)
2026q2	2026q2.pdf	Total deal count	YEARLY ANGEL & VC DEALS (#) — historical FY	none	FY	2016-2025	all	4	
2026q2	2026q2.pdf	Total deal count	YEARLY ANGEL & VC DEALS (#) — H1 datapoint	none	H1	2026	all	4	87 rounds
2026q2	2026q2.pdf	Quarterly deal activity	QUARTERLY ANGEL & VC DEALS	quarter	H1	2024-2026	all	5	2024Q2-2026Q2; çeyreklik 2026Q1+2026Q2 ayrı noktalar
2026q2	2026q2.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS (Size+Count) — historical FY	vertical	FY	2021-2025	all	6,7	
2026q2	2026q2.pdf	Investment by vertical	TOP 10 FUNDED VERTICALS — H1	vertical	H1	2026	all	6,7	Gaming %65 volume; AI deal count lider
2026q2	2026q2.pdf	Funding concentration (top startups)	BREAKDOWN OF INVESTMENTS (6 startup=%75)	none	H1	2026	all	8	yüksek yoğunlaşma
2026q2	2026q2.pdf	CVC / corporate investment	CVC+CORPORATES PARTICIPATION — historical FY	investor_type	FY	2021-2025	all	14	BiGG deals excluded varyantı
